규모,진원깊이,영향도,위도,경도,cluster,c,cluster_4
4.6,60.87,326,-17.0269,-174.2142,1,blue,1
4.1,104.9,259,-8.7633,124.3513,1,blue,1
3.1,10.0,148,52.922,-163.6605,0,red,0
4.2,105.79,271,38.7251,73.4827,1,blue,1
4.0,10.0,246,54.3998,170.6075,1,blue,1
4.6,68.2,326,51.1975,157.8335,1,blue,1
4.1,10.0,259,31.4296,142.2466,1,blue,1
3.29,5.65,185,35.8995,-120.441,0,red,0
4.4,19.18,298,-60.0734,-26.6803,1,blue,1
4.6,10.0,326,25.0174,123.4055,1,blue,1
5.6,10.0,482,-36.1658,-100.538,1,pink,3
4.4,10.0,298,44.6463,-28.1771,1,blue,1
4.8,10.0,354,25.1059,123.475,1,pink,3
4.2,152.56,271,2.636,128.2039,1,blue,1
4.4,103.82,298,14.8283,-92.0444,1,blue,1
4.4,592.07,298,3.9011,122.581,2,green,2
5.1,35.0,400,-56.4752,-26.2261,1,pink,3
3.1,21.03,148,31.3965,-115.3674,0,red,0
4.3,35.0,284,-34.9913,-179.8089,1,blue,1
4.2,57.4,271,13.8604,145.5395,1,blue,1
5.2,231.91,417,36.59,71.1783,1,pink,3
4.4,10.0,298,-14.9838,-173.7621,1,blue,1
4.5,10.0,312,-5.6074,152.8188,1,blue,1
4.6,10.0,326,-26.0454,155.5393,1,blue,1
4.4,98.8,298,33.1118,140.4678,1,blue,1
4.3,21.62,284,-5.0183,-80.9098,1,blue,1
4.9,46.28,369,-56.3618,-26.9269,1,pink,3
4.3,10.0,286,18.7728,-74.0325,1,blue,1
4.3,6.92,294,36.3199,-7.6651,1,blue,1
4.3,10.0,284,-4.8137,34.9883,1,blue,1
4.5,61.38,312,3.6089,126.9356,1,blue,1
4.1,212.24,259,-5.3273,147.1309,1,blue,1
4.3,158.8,284,48.7171,153.2024,1,blue,1
4.3,49.35,284,35.6856,140.7584,1,blue,1
4.4,588.85,298,-21.4894,-178.9819,2,green,2
4.9,10.0,369,-21.3912,-173.8952,1,pink,3
4.2,235.13,271,-19.9534,-175.7105,1,blue,1
4.3,61.8,287,35.306,140.2173,1,blue,1
4.4,10.0,298,-10.1689,161.0132,1,blue,1
5.0,35.0,385,-59.5901,-25.9704,1,pink,3
3.7,90.54,211,-32.2745,-71.1494,0,red,0
4.3,560.21,284,-17.888,-178.5773,2,green,2
3.64,58.0,204,19.2021,-67.2806,0,red,0
4.1,504.63,259,-20.1607,-177.2762,2,green,2
5.4,35.68,452,27.7998,100.7176,1,pink,3
4.2,10.0,271,-3.0222,130.1375,1,blue,1
5.1,35.0,400,-59.0495,-25.6703,1,pink,3
4.5,35.0,312,-58.9489,-25.4687,1,blue,1
4.8,35.0,354,-58.7064,-25.2481,1,pink,3
4.1,587.7,259,-18.5133,-178.1771,2,green,2
4.2,218.64,271,36.5701,71.3585,1,blue,1
4.0,40.62,246,-30.3135,-67.4715,1,blue,1
4.3,16.33,284,37.1136,20.9688,1,blue,1
4.4,10.0,298,61.1476,-27.9659,1,blue,1
4.2,10.0,271,60.9853,-27.8275,1,blue,1
4.7,137.52,340,-21.3716,-68.41,1,blue,1
4.6,10.0,326,61.0833,-27.9363,1,blue,1
5.0,42.43,385,-59.6781,-26.2642,1,pink,3
4.6,10.0,326,61.3016,-27.348,1,blue,1
4.6,10.0,326,60.761,-28.0105,1,blue,1
4.4,10.0,298,-7.5453,127.0567,1,blue,1
4.4,10.0,299,50.2752,-129.3834,1,blue,1
4.3,127.47,284,-8.9114,118.2401,1,blue,1
4.5,10.0,312,61.0477,-27.9054,1,blue,1
4.6,84.59,326,-18.0714,-174.2252,1,blue,1
4.8,10.0,354,-26.0719,-15.6247,1,pink,3
4.2,10.0,271,54.5321,170.5365,1,blue,1
4.6,10.0,326,-26.6395,-114.6688,1,blue,1
4.8,26.4,354,-2.884,127.7046,1,pink,3
3.2,8.16788737,159,32.2869873,-101.7752001,0,red,0
4.5,10.0,312,-20.8562,-174.1252,1,blue,1
4.9,140.61,372,13.9716,145.101,1,pink,3
5.0,93.72,385,1.9322,127.3237,1,pink,3
4.3,104.47,284,-14.8679,167.3603,1,blue,1
4.5,10.0,312,33.9519,88.3531,1,blue,1
3.2,6.851391602,158,31.65650967,-104.3002824,0,red,0
6.0,104.0,555,-13.1864,166.8148,1,pink,3
3.92,17.73,302,35.284,-119.3906667,1,blue,1
3.5,32.8,188,51.2125,-178.256,0,red,0
4.3,10.0,284,12.7734,123.5064,1,blue,1
4.3,192.78,284,-24.2708,-67.1264,1,blue,1
3.6,7.211303711,200,31.65466829,-104.3008059,0,red,0
4.2,10.0,271,24.1844,126.6234,1,blue,1
4.1,264.09,259,-11.7633,167.3132,2,blue,1
4.3,10.0,284,-19.9693,168.3208,1,blue,1
3.5,7.314135742,188,31.65191394,-104.3002459,0,red,0
3.1,8.136791992,148,31.66108063,-104.3046246,0,red,0
6.2,19.0,628,24.0079,122.2592,1,pink,3
4.5,77.19,312,23.1835,142.7269,1,blue,1
4.5,10.0,312,24.2869,126.5489,1,blue,1
4.7,10.0,340,32.799,-39.8366,1,blue,1
4.2,44.05,273,53.483,-165.8716,1,blue,1
4.5,56.09,312,-31.6363,-178.7908,1,blue,1
3.2,7.416967772999999,158,31.62060196,-104.0153894,0,red,0
4.3,146.55,284,-5.7618,149.2541,1,blue,1
4.4,150.17,298,-7.6138,128.4621,1,blue,1
3.7,37.37,211,53.883,-166.0921,0,red,0
4.6,12.74,326,-15.014,166.8512,1,blue,1
